ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,NL_NAME_2,VARNAME_2,TYPE_2,ENGTYPE_2,GBR_adm2_ID,Latitude,Longitude
239,"GBR","United Kingdom",3,"Scotland",154,"Glasgow","","Glasgow City","Unitary District (city)","Unitary District (city)","153",55.8488,-4.2414
239,"GBR","United Kingdom",3,"Scotland",155,"Highland","","","Unitary District","Unitary District","154",57.5885,-4.7599
239,"GBR","United Kingdom",3,"Scotland",156,"Inverclyde","","","Unitary District","Unitary District","155",55.8995,-4.7410
239,"GBR","United Kingdom",3,"Scotland",157,"Midlothian","","Edinburgh","Unitary District","Unitary District","156",55.8271,-3.0910
239,"GBR","United Kingdom",3,"Scotland",158,"Moray","","Elgin","Unitary District","Unitary District","157",57.4692,-3.2707
239,"GBR","United Kingdom",3,"Scotland",159,"North Ayshire","","","Unitary District","Unitary District","158",55.6717,-4.9855
239,"GBR","United Kingdom",3,"Scotland",160,"North Lanarkshire","","","Unitary District","Unitary District","159",55.8701,-3.9380
239,"GBR","United Kingdom",3,"Scotland",161,"Orkney Islands","","Orcadas|Orcades|Orcadi|Orkneyöarna|Orknøyene","Island Area","Island Area","160",59.0281,-3.0359
239,"GBR","United Kingdom",3,"Scotland",162,"Perthshire and Kinross","","Perth and Kinross","Unitary District","Unitary District","161",56.5656,-3.8129
239,"GBR","United Kingdom",3,"Scotland",163,"Renfrewshire","","","Unitary District","Unitary District","162",55.8399,-4.5308
239,"GBR","United Kingdom",3,"Scotland",164,"Scottish Borders","","The Borders","Unitary District","Unitary District","163",55.5728,-2.7864
239,"GBR","United Kingdom",3,"Scotland",165,"Shetland Islands","","Zetland","Island Area","Island Area","164",60.3772,-1.2626
239,"GBR","United Kingdom",3,"Scotland",166,"South Ayrshire","","","Unitary District","Unitary District","165",55.2572,-4.6960
239,"GBR","United Kingdom",3,"Scotland",167,"South Lanarkshire","","","Unitary District","Unitary District","166",55.6105,-3.8034
239,"GBR","United Kingdom",3,"Scotland",168,"Stirling","","","Unitary District","Unitary District","167",56.2413,-4.3247
239,"GBR","United Kingdom",3,"Scotland",169,"West Dunbartonshire","","Dumbarton and Clydebank","Unitary District","Unitary District","168",55.9795,-4.4888
239,"GBR","United Kingdom",3,"Scotland",170,"West Lothian","","Linlithgow","Unitary District","Unitary District","169",55.8809,-3.5704
239,"GBR","United Kingdom",4,"Wales",171,"Anglesey","","","Unitary Authority (wales)","Unitary Authority (wales","170",53.2877,-4.3612
239,"GBR","United Kingdom",4,"Wales",172,"Blaenau Gwent","","","Unitary Authority (wales)","Unitary Authority (wales","171",51.7672,-3.1862
239,"GBR","United Kingdom",4,"Wales",173,"Bridgend","","","Unitary Authority (wales)","Unitary Authority (wales","172",51.5402,-3.5873
239,"GBR","United Kingdom",4,"Wales",174,"Caerphilly","","","Unitary Authority (wales)","Unitary Authority (wales","173",51.6534,-3.1935
239,"GBR","United Kingdom",4,"Wales",175,"Cardiff","","","Unitary Authority (wales)","Unitary Authority (wales","174",51.5072,-3.1810
239,"GBR","United Kingdom",4,"Wales",176,"Carmarthenshire","","","Unitary Authority (wales)","Unitary Authority (wales","175",51.8992,-4.1557
239,"GBR","United Kingdom",4,"Wales",177,"Ceredigion","","Cardiganshire","Unitary Authority (wales)","Unitary Authority (wales","176",52.2489,-4.0744
239,"GBR","United Kingdom",4,"Wales",178,"Conwy","","Aberconwy and Colwyn","Unitary Authority (wales)","Unitary Authority (wales","177",53.1343,-3.7312
239,"GBR","United Kingdom",4,"Wales",179,"Denbighshire","","","Unitary Authority (wales)","Unitary Authority (wales","178",53.0868,-3.3505
239,"GBR","United Kingdom",4,"Wales",180,"Flintshire","","","Unitary Authority (wales)","Unitary Authority (wales","179",53.2096,-3.1626
239,"GBR","United Kingdom",4,"Wales",181,"Gwynedd","","Caernarfonshire and Merionethshire","Unitary Authority (wales)","Unitary Authority (wales","180",52.8971,-4.0260
239,"GBR","United Kingdom",4,"Wales",182,"Merthyr Tydfil","","","Unitary Authority (wales)","Unitary Authority (wales","181",51.7393,-3.3576
239,"GBR","United Kingdom",4,"Wales",183,"Monmouthshire","","","Unitary Authority (wales)","Unitary Authority (wales","182",51.7667,-2.8665
239,"GBR","United Kingdom",4,"Wales",184,"Neath Port Talbot","","Neath and Port Talbot","Unitary Authority (wales)","Unitary Authority (wales","183",51.6758,-3.7324
239,"GBR","United Kingdom",4,"Wales",185,"Newport","","","Unitary Authority (wales)","Unitary Authority (wales","184",51.5793,-2.9506
239,"GBR","United Kingdom",4,"Wales",186,"Pembrokeshire","","","Unitary Authority (wales)","Unitary Authority (wales","185",51.8540,-4.8908
239,"GBR","United Kingdom",4,"Wales",187,"Powys","","","Unitary Authority (wales)","Unitary Authority (wales","186",52.3076,-3.4042
239,"GBR","United Kingdom",4,"Wales",188,"Rhondda, Cynon, Taff","","","Unitary Authority (wales)","Unitary Authority (wales","187",51.6402,-3.4175
239,"GBR","United Kingdom",4,"Wales",189,"Swansea","","","Unitary Authority (wales)","Unitary Authority (wales","188",51.6407,-4.0488
239,"GBR","United Kingdom",4,"Wales",190,"Torfaen","","","Unitary Authority (wales)","Unitary Authority (wales","189",51.6983,-3.0447
239,"GBR","United Kingdom",4,"Wales",191,"Vale of Glamorgan","","","Unitary Authority (wales)","Unitary Authority (wales","190",51.4424,-3.3707
239,"GBR","United Kingdom",4,"Wales",192,"Wrexham","","","Unitary Authority (wales)","Unitary Authority (wales","191",52.9618,-3.0572
